,zipCode,Density,LandArea,Population,Wealthy
2614,94117,23176.9230769,1.69,39169.0,38289.6465317
2615,94132,9044.69453376,3.11,28129.0,19735.4509581
2616,94109,47045.3781513,1.19,55984.0,33224.3382216
2617,94127,10897.740113,1.77,19289.0,43491.6667531
2618,94112,23633.0357143,3.36,79407.0,18441.9432796
2622,94121,13377.5974026,3.08,41203.0,29058.4811543
2625,94103,19977.9411765,1.36,27170.0,23481.6626426
2628,94131,12923.5576923,2.08,26881.0,43765.7415647
2629,94105,15800.0,0.37,5846.0,88364.2718098
2630,94112,23633.0357143,3.36,79407.0,18441.9432796
2631,94111,10920.5882353,0.34,3713.0,70755.441422
2633,94116,16871.8146718,2.59,43698.0,26774.0563184
2634,94134,16999.1666667,2.4,40798.0,16602.7983725
2635,94132,9044.69453376,3.11,28129.0,19735.4509581
2636,94134,16999.1666667,2.4,40798.0,16602.7983725
2639,94114,21765.034965,1.43,31124.0,55081.8068693
2640,94117,23176.9230769,1.69,39169.0,38289.6465317
2643,94110,29756.6523605,2.33,69333.0,27502.0329136
2645,94110,29756.6523605,2.33,69333.0,27502.0329136
2648,94134,16999.1666667,2.4,40798.0,16602.7983725
2651,94114,21765.034965,1.43,31124.0,55081.8068693
2652,94110,29756.6523605,2.33,69333.0,27502.0329136
2653,94131,12923.5576923,2.08,26881.0,43765.7415647
2654,94122,23738.559322,2.36,56023.0,26177.8981311
2656,94124,6895.74036511,4.93,33996.0,13046.1346629
2658,94123,22635.2941176,1.02,23088.0,71547.6329695
2659,94102,46531.3432836,0.67,31176.0,15423.1812292
2660,94110,29756.6523605,2.33,69333.0,27502.0329136
2661,94114,21765.034965,1.43,31124.0,55081.8068693
2662,94118,19650.7692308,1.95,38319.0,41202.501083
2664,94121,13377.5974026,3.08,41203.0,29058.4811543
2665,94104,5075.0,0.08,406.0,282913.581281
2674,94110,29756.6523605,2.33,69333.0,27502.0329136
2676,94110,29756.6523605,2.33,69333.0,27502.0329136
2678,94107,14859.7765363,1.79,26599.0,49267.0613557
2679,94122,23738.559322,2.36,56023.0,26177.8981311
2681,94109,47045.3781513,1.19,55984.0,33224.3382216
2682,94117,23176.9230769,1.69,39169.0,38289.6465317
2685,94133,34522.3684211,0.76,26237.0,28489.6979456
2687,94116,16871.8146718,2.59,43698.0,26774.0563184
2688,94114,21765.034965,1.43,31124.0,55081.8068693
2692,94112,23633.0357143,3.36,79407.0,18441.9432796
2695,94118,19650.7692308,1.95,38319.0,41202.501083
2696,94112,23633.0357143,3.36,79407.0,18441.9432796
2697,94118,19650.7692308,1.95,38319.0,41202.501083
2703,94122,23738.559322,2.36,56023.0,26177.8981311
2706,94122,23738.559322,2.36,56023.0,26177.8981311
2707,94124,6895.74036511,4.93,33996.0,13046.1346629
2709,94124,6895.74036511,4.93,33996.0,13046.1346629
2711,94117,23176.9230769,1.69,39169.0,38289.6465317
2712,94114,21765.034965,1.43,31124.0,55081.8068693
2715,94110,29756.6523605,2.33,69333.0,27502.0329136
2717,94123,22635.2941176,1.02,23088.0,71547.6329695
2723,94107,14859.7765363,1.79,26599.0,49267.0613557
2726,94112,23633.0357143,3.36,79407.0,18441.9432796
2729,94112,23633.0357143,3.36,79407.0,18441.9432796
2730,94110,29756.6523605,2.33,69333.0,27502.0329136
2731,94110,29756.6523605,2.33,69333.0,27502.0329136
2732,94124,6895.74036511,4.93,33996.0,13046.1346629
2736,94112,23633.0357143,3.36,79407.0,18441.9432796
2737,94103,19977.9411765,1.36,27170.0,23481.6626426
2738,94103,19977.9411765,1.36,27170.0,23481.6626426
2739,94103,19977.9411765,1.36,27170.0,23481.6626426
2741,94131,12923.5576923,2.08,26881.0,43765.7415647
2744,94121,13377.5974026,3.08,41203.0,29058.4811543
2745,94127,10897.740113,1.77,19289.0,43491.6667531
2746,94121,13377.5974026,3.08,41203.0,29058.4811543
2748,94122,23738.559322,2.36,56023.0,26177.8981311
2749,94121,13377.5974026,3.08,41203.0,29058.4811543
2751,94102,46531.3432836,0.67,31176.0,15423.1812292
2752,94107,14859.7765363,1.79,26599.0,49267.0613557
2754,94117,23176.9230769,1.69,39169.0,38289.6465317
2756,94107,14859.7765363,1.79,26599.0,49267.0613557
2759,94107,14859.7765363,1.79,26599.0,49267.0613557
2760,94116,16871.8146718,2.59,43698.0,26774.0563184
2761,94129,1383.91304348,2.3,3183.0,54101.3147974
2763,94121,13377.5974026,3.08,41203.0,29058.4811543
2766,94110,29756.6523605,2.33,69333.0,27502.0329136
2767,94112,23633.0357143,3.36,79407.0,18441.9432796
